params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 1.0, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",22.568631694754004,9.7627633818986,0.2232023122633109,0.1942137096662539,0.682148870603933,0.68551640880643,0.6842138704450869,0.6844680242716904,0.6840867935317851,0.0012207406078622869,12,0.9,10,1.0,200,6,0.05,0.6
"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",23.69571207422996,10.878342844919189,0.11530591949122027,0.05269238859293626,0.6771928709851638,0.6796708707945484,0.6831019474536963,0.6825301013438384,0.6806239476443117,0.0023693114772035625,37,0.8,5,0.5,300,6,0.01,1.0
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",18.070488898214535,8.916090373034786,0.4524968422483653,0.2950648361996157,0.6811322552975189,0.6854211011214537,0.6846268704133177,0.6846268704133177,0.683951774311402,0.0016598281716813988,13,0.9,10,0.1,100,6,0.1,0.8
"{'subsample': 0.8, 'reg_lambda': 20, 'reg_alpha': 0.5, 'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",28.434912762255408,8.847332845886417,0.1676991097483551,0.05139019060470072,0.6752867172856372,0.6792578708263176,0.6811640245258442,0.6820535629189567,0.679440543889189,0.0026022057400947106,43,0.8,20,0.5,200,8,0.01,0.6
"{'subsample': 0.8, 'reg_lambda': 20, 'reg_alpha': 0, 'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",25.64469453925267,1.8526763713796945,0.48459411776275374,0.2274448984515877,0.6795755631095721,0.6844997935000159,0.682148870603933,0.6850716396098738,0.6828239667058487,0.002171883376165819,29,0.8,20,0,100,8,0.05,1.0
"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 1.0, 'n_estimators': 500, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",43.15916742820991,5.429064525280852,0.1357469413051149,0.020499906052973353,0.6744607173491756,0.6754455634272644,0.6743971788925247,0.6752867172856372,0.6748975442386504,0.00047248383638009495,49,0.7,1,1.0,500,8,0.1,0.8
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",37.690854152751854,0.3633713095586155,0.6487126329739112,0.15999981910789726,0.6781777170632526,0.6840550243034597,0.6834831781936017,0.6817358706357023,0.681862947549004,0.0022927832493567883,32,0.7,5,0,300,6,0.1,0.8
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 1.0, 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",20.45918706797238,5.52239134053761,0.7036245397903258,0.35237559185639394,0.6795437938812466,0.6853257934364775,0.6836737935635543,0.6853257934364775,0.6834672935794389,0.002363500347068902,21,0.7,5,1.0,100,4,0.1,0.8
"{'subsample': 0.8, 'reg_lambda': 20, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",25.08873313073127,8.866438177433809,0.13588062427879777,0.049148589060910144,0.6729040251612288,0.6754773326555898,0.6780506401499508,0.6782412555199034,0.6761683133716682,0.002177916155466928,48,0.8,20,0.5,300,4,0.01,0.6
"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",34.66755560276215,12.716333191282015,0.1333687215083046,0.0409471861379076,0.6768434094735839,0.6791625631413413,0.6833561012802999,0.6790672554563649,0.6796073323378975,0.0023548907012623447,42,0.9,5,0,500,8,0.1,0.6
