params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 1.0, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",18.46738046547398,10.204807341245742,0.1408945518778637,0.07406788123150695,-0.5844915823642034,-0.5859639901902308,-0.5836216120107152,-0.5834747914706108,-0.58438799400894,0.0009894158319437131,6,0.9,10,1.0,200,6,0.05,0.6
"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",32.2010478542652,10.792054153766696,0.25865340745076537,0.2207203902832139,-0.5921628317293021,-0.5926718741367333,-0.5902980817785922,-0.5901793996435738,-0.5913280468220504,0.0011048705834204103,38,0.8,5,0.5,300,6,0.01,1.0
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",23.4320578816114,8.142379175567548,0.4385345047339797,0.25593925151580793,-0.5861432325543763,-0.5866286878535513,-0.5844456343830654,-0.5840293677688067,-0.5853117306399499,0.0010977646600737684,14,0.9,10,0.1,100,6,0.1,0.8
"{'subsample': 0.8, 'reg_lambda': 20, 'reg_alpha': 0.5, 'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",37.04414540703874,0.4877610577442106,0.46481019351631403,0.1766494889271022,-0.5985200944060443,-0.5978448717000483,-0.5963605522485095,-0.5962921430608742,-0.597254415353869,0.0009585850740606066,45,0.8,20,0.5,200,8,0.01,0.6
"{'subsample': 0.8, 'reg_lambda': 20, 'reg_alpha': 0, 'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",20.873156520421617,8.145329531469828,0.35336579917930067,0.11574941962578215,-0.5873148280345483,-0.5876793939280653,-0.5852131020627036,-0.584984760966783,-0.586298021248025,0.0012086964804333543,21,0.8,20,0,100,8,0.05,1.0
"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 1.0, 'n_estimators': 500, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",28.033327185898088,13.902651261614393,0.14449018461164087,0.1294265330184187,-0.6136370448962621,-0.6134566600990867,-0.6157670598870325,-0.6136103482452085,-0.6141177782818975,0.0009546984988568796,50,0.7,1,1.0,500,8,0.1,0.8
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",28.712722231051885,10.646569262003283,0.16599748865701258,0.09582176701149119,-0.5893604775412514,-0.5888354819647965,-0.5875410737194722,-0.586485959679088,-0.588055748226152,0.001122433652736295,32,0.7,5,0,300,6,0.1,0.8
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 1.0, 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",19.984619174385443,7.348732961759079,0.2020654355874285,0.07042527733000607,-0.5875111738082349,-0.5875422634671262,-0.585317704576112,-0.584735300667191,-0.5862766106296662,0.0012670004505540287,19,0.7,5,1.0,100,4,0.1,0.8
"{'subsample': 0.8, 'reg_lambda': 20, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",34.9658417114988,8.765033696854289,0.3537685899063945,0.32111408399343905,-0.5974734808728309,-0.5977006669077689,-0.5954606414780228,-0.5949225794978361,-0.5963893421891148,0.0012154018889438255,43,0.8,20,0.5,300,4,0.01,0.6
"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",33.93029822607059,16.773276088284796,0.13138180994428694,0.09673646186633097,-0.6028323748133388,-0.6026163073405174,-0.6019498350974261,-0.6026002611124619,-0.602499694590936,0.00033042917228877296,49,0.9,5,0,500,8,0.1,0.6
"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",17.05984856619034,8.343458099937457,0.5834452721755952,0.5363416105959173,-0.5885273717935354,-0.5890914985309068,-0.5867487706086493,-0.5861234324661087,-0.5876227683498001,0.001223453705598737,31,0.8,1,0,100,6,0.05,0.6
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 1.0, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",33.714398551615886,0.8288466596308564,0.36618734896183014,0.19177809230254034,-0.5867824009302409,-0.587736797333421,-0.585077153141504,-0.5847116775291693,-0.5860770072335838,0.0012365594253822237,17,0.7,5,1.0,200,4,0.05,0.8
"{'subsample': 0.7, 'reg_lambda': 20, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",39.05386401282158,1.8193671577592738,0.4132107257610187,0.2965322411276197,-0.5851237427497561,-0.5858108008819999,-0.5836528858927563,-0.5832015979528689,-0.5844472568693453,0.0010606102966553644,9,0.7,20,0.5,300,4,0.05,0.8
"{'subsample': 0.9, 'reg_lambda': 20, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",21.625558258150704,9.661642464978351,0.24556383944582194,0.18442642330898598,-0.5893761840831205,-0.5883225663723985,-0.5861614893688405,-0.5856648239422704,-0.5873812659416574,0.0015247764522139705,30,0.9,20,0,200,8,0.1,1.0
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",7.533194645890035,0.8382147007232975,0.35991761181503534,0.34959969017930015,-0.5873669657963797,-0.5886648761880361,-0.5860003792349084,-0.5854901893247191,-0.5868806026360107,0.0012377624614891163,27,0.9,10,0.5,100,4,0.1,0.6
"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 1.0, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",28.122881511226296,12.80680785423869,0.30042354273609817,0.2225850638983311,-0.5852539058656869,-0.5857274884440318,-0.5848711290858971,-0.5845132099988746,-0.5850914333486226,0.0004510652983676652,11,0.8,10,1.0,300,8,0.05,1.0
"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",42.89077670627739,1.601162666693703,0.14849349670112133,0.018737402253868204,-0.5996448392892472,-0.6004972144998569,-0.59917279932589,-0.5974878676956152,-0.5992006802026524,0.001096902742450798,47,0.8,1,0.5,300,8,0.1,0.8
"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 1.0, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",17.828863694448955,8.774862089425078,0.2603037488879636,0.1091762585341216,-0.586887030468584,-0.5876097986380209,-0.5851398837334153,-0.5849671714341819,-0.5861509710685504,0.0011284547500261901,18,0.8,1,1.0,200,4,0.05,1.0
"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 1.0, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",25.053495489642955,1.276091723768655,0.38800315046682954,0.13967123658557273,-0.5859262037038134,-0.5868278624924778,-0.5845575435785599,-0.5838186660056809,-0.585282568945133,0.0011694947037458004,13,0.8,10,1.0,100,6,0.1,1.0
"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",17.93496548337862,9.200328734102476,0.21897799067664891,0.08321854804222302,-0.5874743443684144,-0.5881751607148873,-0.5852710730248658,-0.5846260658143335,-0.5863866609806253,0.0014769917296766765,22,0.7,1,0.5,100,4,0.1,0.8
"{'subsample': 0.7, 'reg_lambda': 10, 'reg_alpha': 1.0, 'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",28.22750652418472,10.097428476849773,0.30809293151833117,0.1307321705720288,-0.5976266746414387,-0.5972266248394653,-0.5959368112782434,-0.5956204180690554,-0.5966026322070507,0.0008435182029527716,44,0.7,10,1.0,200,8,0.01,0.6
"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",36.11237511096988,14.760288572446226,0.23027564969379455,0.13166862563215861,-0.5863686041765529,-0.5873532955129813,-0.5856406717478891,-0.5857644519611758,-0.5862817558496498,0.0006771875701271992,20,0.9,1,0.5,300,8,0.05,0.6
"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",32.86170908564236,2.046555654854552,0.31123078567907214,0.14387743380126636,-0.5847827877670851,-0.5854563914157263,-0.5833138586237119,-0.583105709267093,-0.584164686768404,0.000986900656166512,4,0.9,1,0.1,200,6,0.05,0.8
"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",24.007462531561032,8.835087495080552,0.20088769181165844,0.1986540081737639,-0.5926104869330379,-0.5932311381254788,-0.590861692640867,-0.5905479440103666,-0.5918128154274376,0.0011349508098902937,39,0.8,10,0.5,300,6,0.01,0.8
