tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
,Brisbane International,Hard,0,,2025-01-01,0,132399,0,,Yasuo Nishioka,,0,,0,208103,0,,Jiri Lehecka,,0,,0,2-6 7-6 4-6,3,2nd Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,776,28,1660
,Brisbane International,Hard,0,,2025-01-01,0,111797,0,,Nicolas Jarry,,0,,0,126127,0,,Benjamin Bonzi,,0,,0,6-2 6-3,3,2nd Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1370,75,730
,Brisbane International,Hard,0,,2025-01-01,0,126846,0,,Aleksandar Vukic,,0,,0,105777,0,,Grigor Dimitrov,,0,,0,2-6 6-7,3,2nd Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,778,10,3350
,Brisbane International,Hard,0,,2025-01-01,0,147490,0,,Jerry Thompson,,0,,0,210506,0,,Alex Michelsen,,0,,0,7-5 6-3,3,2nd Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1745,41,1245
,Brisbane International,Hard,0,,2025-01-02,0,105583,0,,Dusan Lajovic,,0,,0,210150,0,,Jakub Mensik,,0,,0,3-6 2-6,3,2nd Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,710,48,1136
,Brisbane International,Hard,0,,2025-01-02,0,124187,0,,Reilly Opelka,,0,,0,208286,0,,Matteo Arnaldi,,0,,0,7-6 7-6,3,2nd Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,176,37,1345
,Brisbane International,Hard,0,,2025-01-02,0,126207,0,,Frances Tiafoe,,0,,0,208659,0,,Giovanni Mpetshi Perricard,,0,,0,4-6 6-7,3,2nd Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2585,31,1561
,Brisbane International,Hard,0,,2025-01-02,0,104925,0,,Novak Djokovic,,0,,0,104792,0,,Gael Monfils,,0,,0,6-3 6-3,3,2nd Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3910,55,1005
,Brisbane International,Hard,0,,2025-01-03,0,111797,0,,Nicolas Jarry,,0,,0,208103,0,,Jiri Lehecka,,0,,0,4-6 4-6,3,Quarterfinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1370,28,1660
,Brisbane International,Hard,0,,2025-01-03,0,208659,0,,Giovanni Mpetshi Perricard,,0,,0,210150,0,,Jakub Mensik,,0,,0,7-5 7-6,3,Quarterfinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1561,48,1136
,Brisbane International,Hard,0,,2025-01-03,0,104925,0,,Novak Djokovic,,0,,0,124187,0,,Reilly Opelka,,0,,0,6-7 3-6,3,Quarterfinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3910,293,176
,Brisbane International,Hard,0,,2025-01-04,0,124187,0,,Reilly Opelka,,0,,0,208659,0,,Giovanni Mpetshi Perricard,,0,,0,6-3 7-6,3,Semifinals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,176,31,1561
,Hong Kong Tennis Open,Hard,0,,2025-01-01,0,200175,0,,Miomir Kecmanovic,,0,,0,142378,0,,Arthur Muller,,0,,0,7-5 6-7 6-7,3,2nd Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1021,67,778
,Hong Kong Tennis Open,Hard,0,,2025-01-01,0,111815,0,,Cameron Norrie,,0,,0,132283,0,,Lorenzo Sonego,,0,,0,6-2 4-6 6-1,3,2nd Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1119,53,1026
,Hong Kong Tennis Open,Hard,0,,2025-01-01,0,200267,0,,Zizou Bergs,,0,,0,209950,0,,Arthur Fils,,0,,0,6-7 4-6,3,2nd Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,768,20,2355
,Hong Kong Tennis Open,Hard,0,,2025-01-01,0,105453,0,,Kei Nishikori,,0,,0,111575,0,,Karen Khachanov,,0,,0,4-6 6-3 7-5,3,2nd Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,578,19,2410
,Hong Kong Tennis Open,Hard,0,,2025-01-02,0,132686,0,,Nuno Borges,,0,,0,144719,0,,Jaume Munar,,0,,0,3-6 5-7,3,2nd Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1355,62,832
,Hong Kong Tennis Open,Hard,0,,2025-01-02,0,207518,0,,Lorenzo Musetti,,0,,0,209113,0,,Gabriel Diallo,,0,,0,6-4 6-3,3,2nd Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2600,87,643
,Hong Kong Tennis Open,Hard,0,,2025-01-02,0,124079,0,,Pedro Martinez,,0,,0,210234,0,,Juncheng Shang,,0,,0,3-6 1-6,3,2nd Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1205,50,1115
,Hong Kong Tennis Open,Hard,0,,2025-01-02,0,206681,0,,Fabian Marozsan,,0,,0,126094,0,,Andrey Rublev,,0,,0,7-5 3-6 6-3,3,2nd Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,935,8,3760
