Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score
Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Jasika O.,Gaston H.,Gaston H.,179,81,323,703,3.2,1.36,2-6 6-3 2-6 2-6
Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Fils A.,Virtanen O.,Fils A.,21,93,2280,627,1.13,6.0,3-6 7-6 6-4 6-4
Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Monteiro T.,Nishikori K.,Nishikori K.,105,76,566,743,4.5,1.2,6-4 7-6 5-7 2-6 3-6
Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Ruud C.,Munar J.,Ruud C.,6,62,4210,922,1.17,5.0,6-3 1-6 7-5 2-6 6-1
Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Bu Y.,Habib H.,Habib H.,67,219,784,264,1.36,3.2,6-7 4-6 6-7
Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Lehecka J.,Tu L.,Lehecka J.,29,168,1660,342,1.07,9.0,6-1 3-6 6-3 7-6
Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Nagal S.,Machac T.,Machac T.,91,25,635,1805,13.0,1.04,3-6 1-6 5-7
Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Humbert U.,Gigante M.,Humbert U.,14,145,2765,403,1.08,8.0,7-6 7-5 6-4
Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Onclin G.,Opelka R.,Opelka R.,239,170,242,341,3.75,1.29,6-3 6-7 3-6 2-6
Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Halys Q.,Walton A.,Halys Q.,74,90,756,636,2.0,1.8,4-6 4-6 6-4 7-6 7-5
Australian Open,2025-01-12,Grand Slam,Outdoor,Hard,1st Round,5,Pouille L.,Zverev A.,Zverev A.,103,2,575,7635,19.0,1.02,4-6 4-6 4-6
Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Tiafoe F.,Rinderknech A.,Tiafoe F.,16,61,2560,927,1.25,4.0,7-6 6-3 4-6 6-7 6-3
Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Tabilo A.,Carballes Baena R.,Carballes Baena R.,26,57,1705,981,1.5,2.63,6-1 2-6 3-6 6-7
Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Mensik J.,Basilashvili N.,Mensik J.,48,206,1162,273,1.17,5.0,6-1 6-7 6-3 6-3
Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Tsitsipas S.,Michelsen A.,Michelsen A.,12,42,3195,1270,1.53,2.5,5-7 3-6 6-2 4-6
Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Borges N.,Muller A.,Borges N.,33,58,1445,965,1.67,2.2,6-7 6-3 6-2 7-5
Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Seyboth Wild T.,Marozsan F.,Marozsan F.,79,59,732,960,3.0,1.4,3-6 7-6 5-7 7-5 5-7
Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Duckworth J.,Stricker D.,Duckworth J.,89,304,637,173,1.73,2.1,6-2 6-4 6-2
Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Landaluce M.,Mccabe J.,Mccabe J.,142,258,414,216,1.3,3.5,4-6 3-6 4-6
Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Sinner J.,Jarry N.,Sinner J.,1,36,11830,1340,1.01,26.0,7-6 7-6 6-1
Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Koepfer D.,Thompson J.,Thompson J.,124,27,485,1695,3.2,1.36,6-7 4-6 6-4 3-6
Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Schoolkate T.,Daniel T.,Schoolkate T.,173,113,336,519,2.0,1.8,6-7 7-6 6-1 6-4
Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Dzumhur D.,Vukic A.,Vukic A.,82,68,679,778,3.75,1.29,7-6 0-6 6-3 3-6 4-6
Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Draper J.,Navone M.,Draper J.,18,47,2530,1173,1.05,11.0,4-6 6-3 3-6 6-3 6-2
Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Safiullin R.,Kokkinakis T.,Kokkinakis T.,63,71,823,766,2.38,1.57,6-3 3-6 3-6 6-7
Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Cazaux A.,Baez S.,Cazaux A.,78,28,732,1690,1.4,3.0,6-3 5-7 3-6 6-0 6-3
Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Dougaz A.,Nishioka Y.,Nishioka Y.,231,65,254,807,5.5,1.14,6-3 4-6 6-7 3-6
Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Korda S.,Klein L.,Korda S.,22,144,2065,405,1.33,3.4,6-3 0-6 6-3 7-6
Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Kotov P.,Faria J.,Faria J.,97,125,612,481,1.57,2.38,1-6 1-6 5-7
Australian Open,2025-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Auger-Aliassime F.,Struff J.L.,Auger-Aliassime F.,23,43,1905,1240,1.44,2.75,6-3 6-0 4-6 6-1
